web_scraper_order,web_scraper_start_url,pagination-selector,Name,Name2,Name3,Name4,Price,Score,Prev race pts.
1763925487-292,https://fantasy.skiclassics.com/athletes,,Vera Myhlback,The Youth Team,,Youth,$259,0 p.,-
1763925487-293,https://fantasy.skiclassics.com/athletes,,Lisa Alrik,The Youth Team,,Youth,$264,0 p.,-
1763925487-294,https://fantasy.skiclassics.com/athletes,,Alice Bourdin,Team Nordic Expérience/Coste - Fromagerie Marcel Petite,,Youth,$253,0 p.,-
1763925487-295,https://fantasy.skiclassics.com/athletes,,Ella Noora Haapalehto,Team Edux,https://skiclassics.com/wp-content/uploads/2023/03/Team-Edux-race-suit-1.svg,Youth,$292,0 p.,-
1763925487-296,https://fantasy.skiclassics.com/athletes,,Julie Meinicke,NTNUI Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/NTNUI-SKI-TEAM-Race-suite-picture.jpg,Youth,$244,0 p.,-
1763925487-297,https://fantasy.skiclassics.com/athletes,,Magnus Vesterheim,Team Ramudden,https://skiclassics.com/wp-content/uploads/2023/03/Race-Suit_Ramudden_new-kopia2.svg,,$4 680,0 p.,-
1763925487-298,https://fantasy.skiclassics.com/athletes,,Francesco Ferrari,Team Internorm Trentino GSG,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-3.svg,QCI,$1 929,0 p.,-
1763925487-299,https://fantasy.skiclassics.com/athletes,,Fabián Štoček,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,QCI,$4 209,0 p.,-
1763925487-300,https://fantasy.skiclassics.com/athletes,,Christian Lorenzi,Team Internorm Trentino GSG,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-3.svg,QCI,$1 071,0 p.,-
1763925487-301,https://fantasy.skiclassics.com/athletes,,Sadurni Betriu Boix,Team Internorm Trentino GSG,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-3.svg,QCI,$315,0 p.,-
1763925487-302,https://fantasy.skiclassics.com/athletes,,Tord Asle Gjerdalen,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,,$5 877,0 p.,-
1763925487-303,https://fantasy.skiclassics.com/athletes,,Stanislav Řezáč,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,QCI,$1 352,0 p.,-
1763925487-304,https://fantasy.skiclassics.com/athletes,,Christian Winker,TEAM BSV IBEX,https://skiclassics.com/wp-content/uploads/2023/03/SC-Race-Suit_template_TEAM-BSV-IBEX.png,QCI,$211,0 p.,-
1763925487-305,https://fantasy.skiclassics.com/athletes,,Anders Grini,Team Sjusjøen Langløp,,Youth,$640,0 p.,-
1763925487-306,https://fantasy.skiclassics.com/athletes,,Thomas Ødegaarden,Team Eksjöhus,https://skiclassics.com/wp-content/uploads/2024/11/Team-Eksjohus_VSC_template_2024-e1731396346500.png,,$8 187,0 p.,-
1763925487-307,https://fantasy.skiclassics.com/athletes,,Ingeborg Rystad,Team Rustad IL Oslo,,Youth,$300,0 p.,-
1763925487-308,https://fantasy.skiclassics.com/athletes,,Eva Helene Andberg,Team Rustad IL Oslo,,Youth,$241,0 p.,-
1763925487-309,https://fantasy.skiclassics.com/athletes,,Oda Aanestad,Team Andiamo Fleischer Finans,https://skiclassics.com/wp-content/uploads/2024/10/SC-Race-Suit_Team-Andiamo_2024-09_4x.png,Youth,$294,0 p.,-
1763925487-310,https://fantasy.skiclassics.com/athletes,,Hedda Bångman,Team Burger King - Northug,,,$8 328,0 p.,-
1763925487-311,https://fantasy.skiclassics.com/athletes,,Julie Victoria Berg,Team Burger King - Northug,,,$271,0 p.,-
1763925487-312,https://fantasy.skiclassics.com/athletes,,Maren Engeskaug Nielsen,Team Burger King - Northug,,,$1 283,0 p.,-
1763925487-313,https://fantasy.skiclassics.com/athletes,,Fanny Marie Møller Endresen,Team Burger King - Northug,,,$1 510,0 p.,-
1763925487-314,https://fantasy.skiclassics.com/athletes,,Astrid Arnesen,Team Aktiv Mot Kreft,,Youth,$2 871,0 p.,-
1763925487-315,https://fantasy.skiclassics.com/athletes,,Martine Grøttum Engen,Team Aktiv Mot Kreft,,Youth,$2 438,0 p.,-
1763925487-316,https://fantasy.skiclassics.com/athletes,,Hermine Widding,Team Aktiv Mot Kreft,,Youth,$239,0 p.,-
1763925487-317,https://fantasy.skiclassics.com/athletes,,Emil Persson,Lager 157 Ski Team,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_LAGER-157-SKI-TEAM.png,,$13 581,0 p.,-
1763925487-318,https://fantasy.skiclassics.com/athletes,,Lorenzo Busin,Team Internorm Trentino GSG,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-3.svg,QCI,$3 440,0 p.,-
1763925487-319,https://fantasy.skiclassics.com/athletes,,Henrik Haugland Syverinsen,Team Kaffebryggeriet DRIV,https://skiclassics.com/wp-content/uploads/2023/03/Team-Kaffebryggeriet-Driv-race-suit.png,,$3 029,0 p.,-
1763925487-320,https://fantasy.skiclassics.com/athletes,,Václav Sedláček,eD system RSJ Team,,QCI,$1 958,0 p.,-
1763925487-321,https://fantasy.skiclassics.com/athletes,,Marcus Johansson,The Youth Team,,,$2 170,0 p.,-
1763925487-322,https://fantasy.skiclassics.com/athletes,,Florian Göbel,Cibes Lift Ski-Willy Marathon Team,https://skiclassics.com/wp-content/uploads/2023/03/RaceSuit_SkiWillyMarathonTeamAUT.svg,QCI,$221,0 p.,-
1763925487-323,https://fantasy.skiclassics.com/athletes,,Markku Kouva,Team Edux,https://skiclassics.com/wp-content/uploads/2023/03/Team-Edux-race-suit-1.svg,QCI,$224,0 p.,-
1763925487-324,https://fantasy.skiclassics.com/athletes,,Vetle Thyli,Team Kaffebryggeriet DRIV,https://skiclassics.com/wp-content/uploads/2023/03/Team-Kaffebryggeriet-Driv-race-suit.png,,$2 300,0 p.,-
1763925487-325,https://fantasy.skiclassics.com/athletes,,Gianluca Wenger,TEAM BSV IBEX,https://skiclassics.com/wp-content/uploads/2023/03/SC-Race-Suit_template_TEAM-BSV-IBEX.png,Youth,$265,0 p.,-
